0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:32 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:39 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:40 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:40 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:41 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:41 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:44 +0530] "GET /Science/StaffControl8?id=7 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:47 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:49 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:51 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:07:54 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:08:04 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:08:05 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:08:07 +0530] "GET /Science/StaffControl8?id=6 HTTP/1.1" 500 1830
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:08:54 +0530] "GET /Science/StaffControl8?id=6 HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:09:06 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:09:06 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:09:07 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:09:09 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 1838
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:11:38 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:11:38 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:11:39 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:11:41 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:11:47 +0530] "POST /Science/StaffControl8?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:11:47 +0530] "GET /Science/ScienceWrong.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:13:26 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:13:26 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:13:27 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3687
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:13:29 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:13:37 +0530] "POST /Science/StaffControl8?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:13:37 +0530] "GET /Science/ScienceWrong.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:16:56 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:17:01 +0530] "POST /Science/StaffControl8?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:17:01 +0530] "GET /Science/ScienceWrong.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:13 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:13 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:15 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:17 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 4017
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:30 +0530] "POST /Science/StaffControl8?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:30 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:34 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:36 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 4020
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:43 +0530] "POST /Science/StaffControl8?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:43 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:45 +0530] "GET /Science/StaffControl7 HTTP/1.1" 200 3688
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:46 +0530] "GET /Science/StaffControl8?id=8 HTTP/1.1" 200 4021
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:58 +0530] "POST /Science/StaffControl8?id=8 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:27:58 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2629
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:29:16 +0530] "GET /Science/ScienceAdd.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:29:45 +0530] "POST /Science/StaffControl1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:29:45 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:23 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:28 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:36 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:36 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:37 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:43 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:45 +0530] "GET /Science/StaffControl3 HTTP/1.1" 200 2206
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:48 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:30:51 +0530] "GET /Science/StaffControl4 HTTP/1.1" 200 5931
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:31:28 +0530] "POST /Science/StaffControl2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:31:28 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:35:31 +0530] "POST /Science/StaffControl1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:35:31 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:35:39 +0530] "GET /Science/StaffControl4 HTTP/1.1" 200 6252
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:36:03 +0530] "POST /Science/StaffControl2 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:36:03 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:36:12 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2637
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:36:49 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:36:52 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:36:58 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:37:50 +0530] "GET /Science/StaffControl HTTP/1.1" 500 1445
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:38:06 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:38:06 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:38:13 +0530] "GET /Science/ScienceDelete.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:38:25 +0530] "GET /Science/ScienceStaff.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Oct/2023:22:38:47 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
