127.0.0.1 - - [16/Oct/2023:11:47:11 +0530] "GET / HTTP/1.1" 404 1069
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/ScienceHome.html HTTP/1.1" 200 3920
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/Science.css HTTP/1.1" 200 3351
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/graduation.png HTTP/1.1" 200 20343
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/Science.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/Graduation.jpg HTTP/1.1" 200 616088
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/college.png HTTP/1.1" 200 27207
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/graduate%20(1).png HTTP/1.1" 200 40701
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:13 +0530] "GET /Science/social-network.png HTTP/1.1" 200 18992
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:47:39 +0530] "GET /favicon.ico HTTP/1.1" 404 1080
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:48:49 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:48:49 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [16/Oct/2023:11:49:30 +0530] "GET /Science/ScienceCreate.html HTTP/1.1" 200 3270
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:11 +0530] "GET /Science/ScienceSignin.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:17 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:17 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:22 +0530] "GET /Science/StaffControl5?uh=14 HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:28 +0530] "GET /Science/StaffControl HTTP/1.1" 200 2653
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:49 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:34:49 +0530] "GET /Science/ScienceInvalidEntry.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:35:02 +0530] "POST /Science/LoginControl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [16/Oct/2023:13:35:02 +0530] "GET /Science/StudentControl HTTP/1.1" 200 4333
